In junction 1 to 2,Junction 2 to 3,Junction 3 to 4,Junction 4 to 5,Junction 5 to 6 out
0.089,0.27,0.07,0.1,0.1
0.35862069,1.089689858,0.281081081,0.43153527,0.416
0.717241379,2.179379715,0.562162162,0.863070539,0.832
1.075862069,3.269069573,0.843243243,1.294605809,1.248
1.434482759,4.35875943,1.124324324,1.726141079,1.664
1.793103448,5.448449288,1.405405405,2.157676349,2.08
2.151724138,6.538139145,1.686486486,2.589211618,2.496
2.510344828,7.627829003,1.967567568,3.020746888,2.912
2.868965517,8.71751886,2.248648649,3.452282158,3.328
3.586206897,10.89689858,2.810810811,4.315352697,4.16
0.068965517,0.209555742,0.054054054,0.082987552,0.08
0.275862069,0.838222967,0.216216216,0.331950207,0.32
0.551724138,1.676445935,0.432432432,0.663900415,0.64
0.827586207,2.514668902,0.648648649,0.995850622,0.96
1.103448276,3.352891869,0.864864865,1.32780083,1.28
1.379310345,4.191114837,1.081081081,1.659751037,1.6
1.655172414,5.029337804,1.297297297,1.991701245,1.92
1.931034483,5.867560771,1.513513514,2.323651452,2.24
2.206896552,6.705783738,1.72972973,2.65560166,2.56
2.75862069,8.382229673,2.162162162,3.319502075,3.2
0.055172414,0.167644593,0.043243243,0.066390041,0.064
0.055172414,0.167644593,0.043243243,0.066390041,0.064
0.220689655,0.670578374,0.172972973,0.265560166,0.256
0.44137931,1.341156748,0.345945946,0.531120332,0.512
0.662068966,2.011735122,0.518918919,0.796680498,0.768
0.882758621,2.682313495,0.691891892,1.062240664,1.024
1.103448276,3.352891869,0.864864865,1.32780083,1.28
1.324137931,4.023470243,1.037837838,1.593360996,1.536
1.544827586,4.694048617,1.210810811,1.858921162,1.792
1.765517241,5.364626991,1.383783784,2.124481328,2.048
2.206896552,6.705783738,1.72972973,2.65560166,2.56
0.027586207,0.083822297,0.021621622,0.033195021,0.032
0.110344828,0.335289187,0.086486486,0.132780083,0.128
0.220689655,0.670578374,0.172972973,0.265560166,0.256
0.331034483,1.005867561,0.259459459,0.398340249,0.384
0.44137931,1.341156748,0.345945946,0.531120332,0.512
0.551724138,1.676445935,0.432432432,0.663900415,0.64
0.662068966,2.011735122,0.518918919,0.796680498,0.768
0.772413793,2.347024308,0.605405405,0.929460581,0.896
0.882758621,2.682313495,0.691891892,1.062240664,1.024
1.103448276,3.352891869,0.864864865,1.32780083,1.28